hostname;ipl0;ipl237;;
ra053576.mbi.brad;172.24.112.20;10.148.27.196;AG 1833 AGP CONJUNTO NACIONAL USP;dlsw local-peer peer-id 172.24.112.20;dlsw local-peer peer-id 10.245.13.16 keepalive 120
ra053093.sts.brad;172.24.155.172;10.148.34.144;27928 BDN TERMINAL RODOVIARIO DO GUARUJA;dlsw local-peer peer-id 172.24.155.172;dlsw local-peer peer-id 10.148.34.144 keepalive 120
ra052419.sdr.brad;172.24.210.180;10.245.70.218;BDN 27244 SUPERMERCADO EFCE PEREIRA LTDA;dlsw local-peer peer-id 172.24.210.180;dlsw local-peer peer-id 10.245.70.235 keepalive 120
ra16320bd.fns.brad;172.24.231.20;10.245.76.225;;dlsw local-peer peer-id 172.24.231.20;dlsw local-peer peer-id 10.217.172.20 keepalive 120
ra16378bd.jve.brad;172.24.234.116;10.245.76.30;BDN 2773_25411 SHOPPING BREITHAUPT - INTERFACE;dlsw local-peer peer-id 172.24.234.116;dlsw local-peer peer-id 10.245.76.218 keepalive 120
ra19758bd.igs.brad;172.24.36.92;10.245.12.145;;dlsw local-peer peer-id 172.24.36.92;dlsw local-peer peer-id 10.245.7.221 keepalive 120
ra018845.mke.brad;172.25.144.52;10.149.9.24;1022 AGP DUQUE DE CAXIAS;dlsw local-peer peer-id 172.25.144.52 keepalive 120;dlsw local-peer peer-id 10.149.21.4 keepalive 120
ra052016.oco.brad;172.25.164.156;10.245.18.246;ALTI !0;dlsw local-peer peer-id 172.26.46.109;dlsw local-peer peer-id 10.245.18.246 keepalive 120
ra052017.oco.brad;172.25.164.172;10.245.18.246;ALTI !0;dlsw local-peer peer-id 172.26.46.110;dlsw local-peer peer-id 10.245.18.246 keepalive 120
ra14790pb.mns.brad;172.25.192.164;10.245.60.9;PAB 0320-02 - PAB KEIHIN TECNOLOGIA DO BRASIL;dlsw local-peer peer-id 172.25.192.164;dlsw local-peer peer-id 10.245.60.9 keepalive 120
ruata01.scec.brad;172.25.30.59;10.245.10.37; GATEWAY URAS ATA;dlsw local-peer peer-id 172.25.30.109;dlsw local-peer peer-id 10.245.10.37 keepalive 120
ra26230.mns.brad;172.25.39.36;10.245.48.41;BDN 3621 ITAUTINGA AGROIN;dlsw local-peer peer-id 172.25.39.36;dlsw local-peer peer-id 10.245.249.42 keepalive 120
ra052020.nct.brad;172.25.57.140;10.217.157.36;;dlsw local-peer peer-id 172.26.52.102;dlsw local-peer peer-id 10.217.157.36 keepalive 120
ra052021.nct.brad;172.25.57.180;10.245.248.130;;dlsw local-peer peer-id 172.26.52.103;dlsw local-peer peer-id 10.245.248.130 keepalive 120
ra053036.blm.brad;172.25.59.68;10.245.52.41;27548 BDN FARMACIA ANASTACIA;dlsw local-peer peer-id 172.25.59.68;dlsw local-peer peer-id 10.245.5.95 keepalive 120
ra05173bd.cta.brad;172.25.230.172;10.245.76.123;BDN 12573 MOVEIS WEIHERMANN;dlsw local-peer peer-id 172.25.230.172;dlsw local-peer peer-id 10.245.68.32 keepalive 120
total:  94 cpes
